"","dist_year","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic","Expulsions_Males","Expulsions_Females","Expulsion_Other"
"1","10017_2011-12","0","0","0",2,"0","0",0
"2","10017_2012-13","2","2","0",69,"6","0",0
"3","10017_2013-14","0","0","0",3,"1","0",0
"4","10017_2014-15","0","1","0",2,"1","0",0
"5","10017_2015-16","0","0","0",2,"0","0",0
"6","10017_2016-17","0","0","0",2,"0","0",0
"7","10025_2012-13",NA,NA,NA,1,"*","*",NA
"8","10025_2014-15",NA,NA,"*",0,"*","0",NA
"9","10033_2011-12","*","*","0",2,"0","0",0
"10","10033_2012-13","*","*","2",2,"3","0",1
"11","10033_2013-14",NA,"*","0",2,"0","0",NA
"12","10033_2014-15",NA,"*","0",2,"0","0",NA
"13","10033_2015-16",NA,"*","0",2,"0","0",NA
"14","10033_2016-17",NA,"*","0",2,"0","0",NA
"15","10041_2011-12","0","0","0",2,"0","0",0
"16","10041_2012-13","0","0","0",2,"0","0",0
"17","10041_2013-14","0","0","0",2,"0","0",0
"18","10041_2014-15","0","0","0",2,"0","0",NA
"19","10041_2015-16","0","0","1",2,"1","0",NA
"20","10041_2016-17","0","0","0",2,"0","0",0
"21","10058_2011-12","*","*","0",2,"0","0",NA
"22","10058_2012-13","*","*","0",2,"0","0",0
"23","10058_2013-14","*","*","0",2,"0","0",0
"24","10058_2014-15","*","*","0",2,"0","0",NA
"25","10058_2015-16","*","*","0",2,"0","0",0
"26","10058_2016-17","*","0","0",2,"0","0",NA
"27","10066_2011-12",NA,"*","*",2,"0","0",NA
"28","10066_2012-13",NA,"*","*",2,"0","*",NA
"29","10066_2013-14","*","*","*",2,"0","*",NA
"30","10066_2015-16",NA,NA,"*",1,"0","*",NA
"31","10066_2016-17",NA,NA,"*",2,"0","*",NA
"32","10074_2011-12","0","0","0",69,"2","0",0
"33","10074_2012-13","0","0","0",2,"0","0",0
"34","10074_2013-14","0","0","0",2,"0","0",0
"35","10074_2014-15","0","0","1",2,"1","0",0
"36","10074_2015-16","0","0","0",2,"0","0",0
"37","10074_2016-17","0","0","0",2,"0","0",0
"38","10082_2011-12","0","*","0",2,"0","0",NA
"39","10082_2012-13","0","0","144",49,"174","16",NA
"40","10082_2013-14","*","*","0",3,"0","1",NA
"41","10082_2014-15","0","0","0",2,"0","0",0
"42","10082_2015-16","0","0","0",2,"0","0",0
"43","10082_2016-17","0","*","0",2,"0","0",NA
"44","10090_2011-12","0","0","0",2,"0","0",0
"45","10090_2012-13","0","0","0",2,"0","0",0
"46","10090_2013-14","0","0","0",2,"0","0",0
"47","10090_2014-15","0","0","0",2,"0","0",0
"48","10090_2015-16","0","0","0",2,"0","0",0
"49","10090_2016-17","0","0","0",2,"0","0",0
"50","10108_2011-12","0","1","0",3,"2","0",0
"51","10108_2012-13","0","0","0",2,"0","0",0
"52","10108_2013-14","0","0","0",2,"0","0",0
"53","10108_2014-15","0","0","0",2,"1","0",1
"54","10108_2015-16","0","0","0",2,"0","0",0
"55","10108_2016-17","0","0","0",2,"0","0",0
"56","10116_2011-12","*","*","1",2,"1","0",0
"57","10116_2012-13","0","*","0",2,"0","0",NA
"58","10116_2013-14","*","*","0",2,"0","0",NA
"59","10116_2014-15","0","0","0",2,"0","0",0
"60","10116_2015-16","0","0","0",2,"0","0",0
"61","10116_2016-17","*","*","0",2,"0","0",0
"62","10124_2011-12","0","0","0",2,"0","0",0
"63","10124_2012-13","*","0","0",2,"0","0",0
"64","10124_2013-14","0","*","0",2,"0","0",0
"65","10124_2014-15","0","*","0",2,"0","0",0
