"","dist_year","Expulsion_Females","Expulsion_Males","Expulsion_Other","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic"
"1","10017_2011-12","0","0",0,"0","0","0","0"
"2","10017_2012-13","0","6",0,"2","2","0","2"
"3","10017_2013-14","0","1",0,"0","0","0","1"
"4","10017_2014-15","0","1",0,"0","1","0","0"
"5","10017_2015-16","0","0",0,"0","0","0","0"
"6","10017_2016-17","0","0",0,"0","0","0","0"
"7","10033_2011-12","0","0",0,"*","*","0","0"
"8","10033_2012-13","0","3",1,"*","*","2","0"
"9","10041_2011-12","0","0",0,"0","0","0","0"
"10","10041_2012-13","0","0",0,"0","0","0","0"
"11","10041_2013-14","0","0",0,"0","0","0","0"
"12","10041_2016-17","0","0",0,"0","0","0","0"
"13","10058_2012-13","0","0",0,"*","*","0","0"
"14","10058_2013-14","0","0",0,"*","*","0","0"
"15","10058_2015-16","0","0",0,"*","*","0","0"
"16","10074_2011-12","0","2",0,"0","0","0","2"
"17","10074_2012-13","0","0",0,"0","0","0","0"
"18","10074_2013-14","0","0",0,"0","0","0","0"
"19","10074_2014-15","0","1",0,"0","0","1","0"
"20","10074_2015-16","0","0",0,"0","0","0","0"
"21","10074_2016-17","0","0",0,"0","0","0","0"
"22","10082_2014-15","0","0",0,"0","0","0","0"
"23","10082_2015-16","0","0",0,"0","0","0","0"
"24","10090_2011-12","0","0",0,"0","0","0","0"
"25","10090_2012-13","0","0",0,"0","0","0","0"
"26","10090_2013-14","0","0",0,"0","0","0","0"
"27","10090_2014-15","0","0",0,"0","0","0","0"
"28","10090_2015-16","0","0",0,"0","0","0","0"
"29","10090_2016-17","0","0",0,"0","0","0","0"
"30","10108_2011-12","0","2",0,"0","1","0","1"
"31","10108_2012-13","0","0",0,"0","0","0","0"
"32","10108_2013-14","0","0",0,"0","0","0","0"
"33","10108_2014-15","0","1",1,"0","0","0","0"
"34","10108_2015-16","0","0",0,"0","0","0","0"
"35","10108_2016-17","0","0",0,"0","0","0","0"
"36","10116_2011-12","0","1",0,"*","*","1","0"
"37","10116_2014-15","0","0",0,"0","0","0","0"
"38","10116_2015-16","0","0",0,"0","0","0","0"
"39","10116_2016-17","0","0",0,"*","*","0","0"
"40","10124_2011-12","0","0",0,"0","0","0","0"
"41","10124_2012-13","0","0",0,"*","0","0","0"
"42","10124_2013-14","0","0",0,"0","*","0","0"
"43","10124_2014-15","0","0",0,"0","*","0","0"
"44","10124_2016-17","0","0",0,"0","*","0","0"
"45","10132_2015-16","0","0",0,"*","*","0","0"
"46","10140_2011-12","0","0",0,"0","0","0","0"
"47","10140_2012-13","0","3",0,"0","1","0","2"
"48","10140_2014-15","0","4",0,"0","1","0","3"
"49","10140_2015-16","0","0",0,"0","0","0","0"
"50","10140_2016-17","0","0",0,"*","0","0","0"
"51","10157_2011-12","0","3",0,"0","0","0","3"
"52","10157_2012-13","2","7",0,"0","0","0","9"
"53","10157_2013-14","0","0",0,"0","0","0","0"
"54","10157_2014-15","0","4",0,"0","0","0","4"
"55","10157_2015-16","1","0",0,"0","0","0","1"
"56","10157_2016-17","2","1",0,"0","0","0","3"
"57","10165_2011-12","0","1",0,"*","0","0","1"
"58","10165_2012-13","0","0",0,"*","0","0","0"
"59","10181_2011-12","0","0",0,"*","*","0","0"
"60","10199_2011-12","0","0",0,"0","0","0","0"
"61","10199_2012-13","1","10",0,"0","3","0","8"
"62","10199_2013-14","0","0",0,"0","0","0","0"
"63","10199_2014-15","0","2",0,"0","1","0","1"
"64","10199_2015-16","0","1",0,"0","0","0","1"
"65","10199_2016-17","1","3",0,"0","0","0","4"
"66","10207_2011-12","0","0",0,"*","0","0","0"
"67","10207_2013-14","0","0",0,"*","0","0","0"
"68","10207_2014-15","0","0",0,"*","0","0","0"
"69","10207_2015-16","0","0",0,"*","0","0","0"
"70","10215_2011-12","0","0",0,"0","0","0","0"
"71","10215_2012-13","0","0",0,"0","0","0","0"
"72","10215_2013-14","0","0",0,"0","0","0","0"
"73","10215_2014-15","0","0",0,"0","0","0","0"
"74","10215_2015-16","0","0",0,"0","0","0","0"
"75","10215_2016-17","0","0",0,"0","0","0","0"
"76","10249_2011-12","0","0",0,"0","0","0","0"
"77","10249_2012-13","0","0",0,"0","0","0","0"
"78","10249_2013-14","0","0",0,"0","0","0","0"
"79","10249_2014-15","0","0",0,"0","0","0","0"
"80","10249_2015-16","0","0",0,"0","0","0","0"
"81","10249_2016-17","0","0",0,"0","0","0","0"
"82","10264_2012-13","0","0",0,"0","0","0","0"
"83","10264_2013-14","0","0",0,"0","0","0","0"
"84","10264_2014-15","0","0",0,"0","0","0","0"
"85","10264_2015-16","0","0",0,"0","0","0","0"
"86","10264_2016-17","0","0",0,"0","0","0","0"
"87","10272_2011-12","0","0",0,"0","0","0","0"
