"","dist_year","Expulsion_Female","Expulsion_Male","Expulsion_Total","Expulsion_Asian","Expulsion_Black","Expulsion_Hispanic","Expulsion_White","Expulsion_Other"
"1","10017_2011-12",0,0,0,0,0,0,0,0
"2","10025_2011-12",NA,NA,NA,0,0,0,0,NA
"3","10033_2011-12",0,0,0,NA,NA,0,0,NA
"4","10041_2011-12",0,0,0,0,0,0,0,NA
"5","10058_2011-12",0,0,0,NA,NA,0,0,NA
"6","10066_2011-12",0,0,0,0,NA,0,NA,NA
"7","10074_2011-12",0,2,2,0,0,2,0,0
"8","10082_2011-12",0,0,0,0,NA,0,0,NA
"9","10090_2011-12",0,0,0,0,0,0,0,NA
"10","10108_2011-12",0,2,2,0,1,1,0,NA
"11","10116_2011-12",0,1,1,NA,NA,0,1,NA
"12","10124_2011-12",0,0,0,0,0,0,0,NA
"13","10132_2011-12",0,0,0,NA,0,0,0,NA
"14","10140_2011-12",0,0,0,0,0,0,0,NA
"15","10157_2011-12",0,3,3,0,0,3,0,0
"16","10165_2011-12",0,1,1,NA,0,1,0,NA
"17","10173_2011-12",1,1,2,0,0,0,1,NA
"18","10181_2011-12",0,0,0,NA,NA,0,0,NA
"19","10199_2011-12",0,0,0,0,0,0,0,0
"20","10207_2011-12",0,0,0,NA,0,0,0,NA
"21","10215_2011-12",0,0,0,0,0,0,0,NA
"22","10223_2011-12",0,1,1,NA,NA,0,1,NA
"23","10231_2011-12",0,0,0,NA,NA,0,0,NA
"24","10249_2011-12",0,0,0,0,0,0,0,NA
"25","10256_2011-12",0,0,0,NA,0,0,0,NA
"26","10264_2011-12",0,0,0,0,0,0,0,NA
"27","10272_2011-12",0,0,0,0,0,0,0,0
"28","10280_2011-12",0,0,0,NA,0,0,0,NA
"29","10298_2011-12",0,0,0,0,0,0,0,0
"30","10306_2011-12",0,0,0,0,0,0,0,0
"31","10314_2011-12",0,0,0,0,0,0,0,NA
"32","10322_2011-12",NA,0,0,0,NA,NA,0,NA
"33","10330_2011-12",0,0,0,0,0,0,0,NA
"34","10348_2011-12",0,0,0,0,0,0,0,NA
"35","10355_2011-12",0,0,0,NA,0,0,0,NA
"36","10363_2011-12",0,0,0,0,0,0,0,0
"37","10371_2011-12",0,0,0,0,0,0,0,0
"38","10389_2011-12",0,0,0,0,0,0,0,0
"39","10397_2011-12",0,0,0,0,0,0,0,0
"40","10405_2011-12",0,0,0,NA,0,0,0,NA
"41","10413_2011-12",0,0,0,0,0,0,0,NA
"42","10421_2011-12",0,0,0,NA,0,0,0,NA
"43","10439_2011-12",2,1,3,0,0,3,0,0
"44","10447_2011-12",0,0,0,0,0,0,0,0
"45","10454_2011-12",0,0,0,NA,0,0,0,NA
"46","10462_2011-12",0,NA,NA,0,0,0,NA,0
"47","10470_2011-12",0,0,0,NA,0,0,0,NA
"48","10488_2011-12",0,0,0,0,0,0,0,0
"49","10496_2011-12",0,0,0,0,0,0,0,NA
"50","10504_2011-12",1,2,3,0,0,1,2,0
"51","10512_2011-12",0,0,0,0,0,0,0,NA
"52","10520_2011-12",0,0,0,NA,NA,0,0,NA
"53","10538_2011-12",0,0,0,0,0,NA,0,NA
"54","10546_2011-12",0,2,2,0,0,2,0,NA
"55","10553_2011-12",0,0,0,0,NA,0,0,NA
"56","10561_2011-12",0,0,0,0,0,0,0,NA
"57","10579_2011-12",0,0,0,NA,0,0,0,NA
"58","10587_2011-12",0,2,2,0,0,0,2,NA
"59","31609_2011-12",0,0,0,NA,NA,0,0,NA
"60","31617_2011-12",0,0,0,0,0,0,0,NA
"61","31625_2011-12",0,0,0,NA,0,0,0,NA
"62","32276_2011-12",0,0,0,NA,0,0,NA,NA
"63","61119_2011-12",3,8,11,2,4,2,2,1
"64","61127_2011-12",0,0,0,0,0,0,0,NA
"65","61143_2011-12",3,12,15,1,8,3,1,2
"66","61150_2011-12",1,6,7,0,2,3,0,2
"67","61168_2011-12",0,0,0,0,0,0,0,NA
"68","61176_2011-12",5,18,23,1,3,12,2,5
"69","61192_2011-12",10,21,31,0,8,18,2,3
"70","61200_2011-12",0,22,22,0,2,11,8,1
"71","61218_2011-12",0,0,0,0,0,0,0,NA
"72","61234_2011-12",3,11,14,0,7,3,1,NA
"73","61242_2011-12",4,14,18,1,7,9,0,1
"74","61259_2011-12",13,30,43,6,22,15,0,0
"75","61275_2011-12",0,0,0,0,0,0,0,NA
"76","61291_2011-12",0,11,11,0,4,6,1,NA
"77","61309_2011-12",1,8,9,1,1,6,1,0
"78","61333_2011-12",0,0,0,0,0,NA,0,NA
"79","61382_2011-12",0,0,0,0,NA,0,0,NA
"80","61408_2011-12",4,25,29,NA,NA,12,16,NA
"81","61424_2011-12",29,48,77,0,9,22,39,7
"82","61432_2011-12",0,1,1,NA,NA,0,0,NA
"83","61440_2011-12",0,0,0,0,0,0,0,NA
"84","61457_2011-12",0,0,0,NA,0,0,0,NA
"85","61499_2011-12",0,0,0,0,0,0,0,NA
"86","61507_2011-12",3,12,15,1,3,3,8,NA
"87","61515_2011-12",14,50,64,11,5,17,27,NA
"88","61523_2011-12",2,7,9,0,0,3,2,NA
"89","61531_2011-12",5,20,25,0,0,3,22,NA
"90","61549_2011-12",0,0,0,0,0,0,0,NA
"91","61556_2011-12",0,0,0,NA,NA,0,0,NA
"92","61564_2011-12",0,2,2,0,0,0,2,NA
"93","61572_2011-12",0,0,0,NA,NA,0,0,NA
"94","61580_2011-12",0,0,0,NA,NA,0,0,NA
"95","61598_2011-12",2,16,18,0,2,9,5,NA
"96","61606_2011-12",2,0,2,NA,NA,0,2,NA
"97","61614_2011-12",2,9,11,NA,0,7,3,NA
"98","61622_2011-12",1,0,1,0,NA,0,0,NA
"99","61630_2011-12",0,5,5,1,1,0,3,NA
"100","61648_2011-12",0,0,0,0,0,0,0,0
"101","61655_2011-12",0,1,1,0,0,0,1,0
"102","61663_2011-12",1,3,4,0,2,0,2,NA
"103","61671_2011-12",0,0,0,0,NA,NA,0,NA
"104","61697_2011-12",0,9,9,0,5,3,1,NA
"105","61705_2011-12",0,0,0,NA,NA,0,0,NA
"106","61713_2011-12",0,2,2,0,0,0,2,NA
"107","61721_2011-12",3,15,18,2,5,4,7,NA
"108","61739_2011-12",4,8,12,0,0,2,8,2
"109","61747_2011-12",0,1,1,0,0,0,1,NA
"110","61754_2011-12",5,34,39,0,5,21,10,3
"111","61762_2011-12",0,1,1,0,0,0,1,NA
"112","61770_2011-12",0,0,0,0,0,0,0,NA
"113","61788_2011-12",2,10,12,0,3,8,1,0
"114","61796_2011-12",10,51,61,2,30,22,3,4
"115","61804_2011-12",0,13,13,0,2,5,4,2
"116","61812_2011-12",0,0,0,0,0,0,0,0
"117","61820_2011-12",0,1,1,0,0,0,0,NA
"118","61838_2011-12",0,0,0,0,0,0,0,0
"119","61846_2011-12",0,0,0,NA,NA,0,0,NA
"120","61853_2011-12",9,42,51,0,0,14,35,2
"121","61879_2011-12",0,0,0,0,0,0,0,NA
"122","61887_2011-12",0,0,0,NA,NA,0,0,NA
"123","61895_2011-12",0,NA,0,0,0,0,0,0
"124","61903_2011-12",0,2,2,0,0,1,1,NA
"125","61911_2011-12",0,1,1,NA,0,0,1,NA
"126","61929_2011-12",0,0,0,NA,0,0,0,NA
"127","61945_2011-12",0,2,2,NA,NA,0,1,NA
"128","61952_2011-12",0,0,0,NA,NA,0,0,NA
"129","61960_2011-12",0,0,0,NA,NA,0,0,NA
