"","dist_year","County","Male.Suspensions","Female.Suspensions","AsianSuspensions","BlackSuspensions","HispanicSuspensions","WhiteSuspensoins","OtherSuspensions","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male"
"1","10108_2011-12","Fresno",857,213,"14","299",629,"91",34,71,208,885,228,37,477,952
"2","10108_2012-13","Fresno",1050,212,"14","351",771,"114",8,64,188,796,253,31,402,930
"3","10108_2013-14","Fresno",1053,197,"17","308",793,"104",24,99,196,879,230,44,489,959
"4","10108_2014-15","Fresno",939,159,"10","302",682,"84",20,82,179,967,199,64,536,955
"5","10108_2015-16","Fresno",827,108,"3","271",568,"66",23,54,151,858,193,76,523,809
"6","10108_2016-17","Fresno",664,106,"7","273",410,"59",20,61,168,1242,258,87,796,1020
"7","10116_2011-12","Glenn",61,7,"*","*",31,"34",3,1,2,56,83,18,57,103
"8","10116_2014-15","Glenn",6,7,"0","0",2,"11",0,6,36,103,83,24,111,141
"9","10116_2015-16","Glenn",26,7,"0","0",9,"23",1,9,38,122,72,21,121,141
"10","10116_2016-17","Glenn",22,2,"*","*",12,"11",1,2,27,152,80,20,148,133
"11","10124_2011-12","Humboldt",4,2,"0","0",3,"3",0,8,4,50,262,73,181,216
"12","10124_2012-13","Humboldt",49,5,"*","0",7,"32",14,7,5,52,262,75,175,226
"13","10124_2013-14","Humboldt",86,14,"4","*",13,"35",40,8,6,40,247,59,167,193
"14","10124_2014-15","Humboldt",73,10,"0","*",27,"30",24,10,3,48,250,54,160,205
"15","10124_2016-17","Humboldt",87,34,"0","*",20,"64",29,8,4,42,268,41,182,181
"16","10132_2015-16","Imperial",11,8,"*","*",17,"1",0,1,2,369,15,7,143,251
"17","10140_2011-12","Inyo",43,2,"0","0",9,"7",29,14,358,1004,47,19,600,842
"18","10140_2012-13","Inyo",7,0,"0","0",0,"7",0,11,386,1170,50,24,711,930
"19","10140_2014-15","Inyo",0,0,"0","0",0,"0",0,14,463,1880,50,30,1131,1306
"20","10140_2015-16","Inyo",0,1,"0","0",1,"0",0,10,318,1619,34,33,956,1058
"21","10140_2016-17","Inyo",0,0,"*","0",0,"0",0,8,311,1534,48,45,896,1050
"22","10157_2011-12","Kern",526,78,"2","124",384,"82",12,26,293,1620,767,78,1003,1781
"23","10157_2012-13","Kern",454,115,"1","119",361,"85",3,23,290,1744,790,77,1073,1851
"24","10157_2013-14","Kern",492,128,"8","132",414,"54",12,29,287,1676,734,81,1102,1705
"25","10157_2014-15","Kern",444,115,"2","133",339,"76",9,30,265,1676,646,75,1043,1649
"26","10157_2015-16","Kern",326,83,"1","89",241,"72",6,23,194,1780,594,73,1102,1562
"27","10157_2016-17","Kern",228,89,"0","64",211,"41",1,23,199,1808,551,80,1158,1503
