"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male","do_asian","do_black","do_hisp","do_white","do_other","do_female","do_male","EnglishLearner","FreeReduced","Foster","ucCsu_asian","ucCsu_black","ucCsu_hisp","ucCsu_white","ucCsu_other","ucCsu_female","ucCsu_male","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic","Expulsions_Males","Expulsions_Females","Expulsion_Other","County","Male.Suspensions","Female.Suspensions","AsianSuspensions","BlackSuspensions","HispanicSuspensions","WhiteSuspensoins","OtherSuspensions","ucCsu_total","do_total","exp_tot","sus_tot","enroll_tot"
"1","10140_2014-15",14,463,1880,50,30,1131,1306,20,347,1165,27,22,726,855,1425,2840,55,0,2,36,1,0,23,16,"0","1","0",3,4,0,0,"Inyo",0,0,"0","0",0,"0",0,39,1581,4,0,2437
"2","10140_2015-16",10,318,1619,34,33,956,1058,4,298,1021,32,33,647,741,883,2736,33,0,14,45,0,0,32,27,"0","0","0",0,0,0,0,"Inyo",0,1,"0","0",1,"0",0,59,1388,0,1,2014
"3","10140_2016-17",8,311,1534,48,45,896,1050,3,219,852,35,27,509,627,1418,1350,33,0,13,47,0,0,41,19,"*","0","0",0,0,0,0,"Inyo",0,0,"*","0",0,"0",0,60,1136,0,0,1946
"4","10330_2013-14",40,309,1987,1228,217,1670,2111,5,63,369,90,27,204,350,1685,6693,73,2,1,16,34,8,39,22,"0","0","0",0,0,0,0,"Riverside",755,82,"5","199",464,"136",33,61,554,0,837,3781
"5","10330_2014-15",51,255,1858,1140,244,1606,1942,1,29,148,45,12,104,131,1540,5018,107,1,8,38,32,12,57,34,"0","0","0",0,0,0,0,"Riverside",551,87,"4","138",371,"97",28,91,235,0,638,3548
"6","10330_2015-16",48,300,2006,1124,223,1665,2036,3,111,454,106,49,294,429,1957,6852,126,3,5,25,31,13,53,24,"0","0","0",0,0,0,0,"Riverside",319,69,"1","62",215,"80",30,77,723,0,388,3701
"7","10330_2016-17",50,304,1983,1148,243,1692,2036,7,69,403,95,30,214,390,1888,7608,104,1,4,15,30,3,29,24,"0","1","1",0,2,0,0,"Riverside",579,159,"1","152",454,"99",32,53,604,2,738,3728
"8","62380_2016-17",17,43,357,36,19,247,225,3,6,40,7,1,23,34,704,1313,2,0,0,4,1,0,1,4,"0","0","0",0,0,0,0,"Fresno",10,0,"0","0",10,"0",0,5,57,0,10,472
"9","62430_2013-14",150,19,2487,183,33,1457,1415,2,0,20,1,0,9,14,2117,8614,14,14,1,108,11,5,96,43,"1","1","1",14,15,2,0,"Fresno",460,116,"12","6",525,"30",2,139,23,17,576,2872
"10","62430_2014-15",144,15,2526,177,34,1449,1447,1,0,15,1,0,9,8,1147,9834,32,11,3,107,13,3,83,54,"0","0","0",10,8,2,0,"Fresno",395,99,"7","2",459,"25",1,137,17,10,494,2896
"11","62430_2015-16",150,9,2605,165,29,1454,1504,0,0,18,0,1,10,9,2448,9889,35,23,1,129,15,4,110,62,"0","0","1",18,14,5,0,"Fresno",411,122,"12","12",485,"22",2,172,19,19,533,2958
"12","62430_2016-17",139,8,2623,149,23,1435,1507,0,0,12,0,0,5,7,1709,9832,25,24,0,125,14,3,108,58,"0","0","0",15,12,3,0,"Fresno",465,168,"16","11",556,"45",2,166,12,15,633,2942
"13","62810_2016-17",14,4,272,664,151,562,543,0,0,1,4,1,2,4,1373,2554,11,2,0,20,59,6,67,20,"0","*","5",1,6,1,1,"Humboldt",355,91,"0","*",85,"250",100,87,6,7,446,1105
"14","63040_2015-16",5,5,48,243,26,145,182,0,1,0,2,3,1,5,1466,5256,1,1,0,0,14,3,9,9,"*","0","0",0,0,0,0,"Humboldt",130,34,"*","1",9,"144",9,18,6,0,164,327
"15","64030_2014-15",9,8,181,403,89,342,348,0,0,5,6,1,8,4,1041,3443,10,0,0,8,30,5,27,16,"0","0","3",1,4,0,0,"Lake",80,31,"0","6",17,"69",18,43,12,4,111,690
"16","64030_2015-16",8,7,175,396,101,336,351,0,1,1,2,3,1,6,1817,3032,9,1,0,8,23,3,17,18,"0","0","4",0,6,0,2,"Lake",128,28,"0","4",31,"85",33,35,7,6,156,687
"17","64600_2013-14",23,140,696,594,82,771,764,1,20,77,40,13,63,88,1583,2555,10,0,0,1,0,0,1,0,"0","0","0",0,0,0,0,"Los Angeles",13,2,"0","0",3,"10",2,1,151,0,15,1535
