"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male"
"1","00170_2011-12",133,469,509,376,112,783,816
"2","00170_2012-13",120,437,527,354,105,787,756
"3","00170_2013-14",108,423,564,347,82,768,756
"4","00170_2014-15",115,420,598,269,88,761,729
"5","00170_2015-16",27,302,404,36,53,370,452
"6","00170_2016-17",21,319,424,34,37,395,440
"7","00176_2011-12",0,0,0,0,0,0,0
"8","00176_2012-13",0,0,0,0,0,0,0
"9","00176_2013-14",3,4,51,1,3,25,37
"10","00176_2014-15",1,8,91,2,2,47,57
"11","00176_2015-16",1,8,81,0,2,41,51
"12","00176_2016-17",0,6,90,1,2,42,57
"13","00330_2011-12",2,3,37,137,20,70,129
"14","00330_2012-13",1,4,48,137,20,74,136
"15","00410_2011-12",6,16,108,403,59,320,272
"16","00410_2012-13",5,6,120,433,50,333,281
"17","00410_2013-14",6,9,142,475,37,350,319
"18","00410_2014-15",6,9,121,462,41,351,288
"19","00410_2015-16",10,12,135,416,52,336,289
"20","00410_2016-17",13,15,140,493,72,404,329
"21","00416_2011-12",5,0,12,25,5,9,38
"22","00416_2013-14",3,0,4,30,2,14,25
"23","00416_2016-17",2,1,5,18,2,8,20
"24","00580_2011-12",1,1,43,250,33,155,173
"25","00580_2012-13",1,1,49,245,33,158,171
"26","00580_2013-14",2,3,48,238,28,153,166
"27","00580_2014-15",2,2,59,226,31,157,163
"28","00580_2015-16",1,5,55,209,34,144,160
"29","00580_2016-17",1,6,69,203,33,150,162
"30","00740_2011-12",32,243,411,143,51,308,572
"31","00740_2012-13",161,325,900,1215,241,1275,1567
"32","00740_2013-14",183,334,1027,1230,277,1380,1671
"33","00740_2014-15",158,315,1099,1215,292,1478,1601
"34","00740_2015-16",185,302,1162,1231,367,1552,1695
"35","00740_2016-17",219,337,1301,1414,512,1870,1913
"36","00746_2011-12",4,9,15,60,1,16,73
"37","00746_2012-13",4,9,15,64,0,18,74
"38","00746_2013-14",2,13,15,62,0,19,73
"39","00746_2014-15",0,11,12,55,1,19,60
"40","00746_2015-16",0,11,12,41,4,14,54
"41","00746_2016-17",0,12,13,41,5,14,57
"42","00820_2011-12",6,2,52,243,87,195,195
"43","00820_2012-13",9,5,45,257,93,202,207
"44","00820_2013-14",4,5,48,217,91,176,189
"45","00820_2014-15",9,7,62,236,107,195,226
"46","00820_2015-16",9,9,63,232,86,210,189
"47","00820_2016-17",8,5,66,219,81,197,182
"48","00900_2011-12",2,80,221,452,53,242,566
"49","00900_2012-13",6,56,193,431,53,277,462
"50","00900_2013-14",3,37,184,419,54,253,444
"51","00900_2014-15",4,48,176,434,57,286,433
"52","00900_2015-16",2,40,161,412,53,271,397
"53","00900_2016-17",3,41,171,434,62,304,407
"54","00906_2011-12",0,0,0,9,0,1,8
"55","00906_2012-13",0,0,0,2,1,2,1
"56","00906_2013-14",2,2,4,53,2,22,41
"57","00906_2014-15",2,3,5,59,1,26,44
"58","00906_2015-16",3,4,6,84,4,42,59
"59","00906_2016-17",3,2,10,82,7,42,62
"60","10108_2011-12",71,208,885,228,37,477,952
"61","10108_2012-13",64,188,796,253,31,402,930
"62","10108_2013-14",99,196,879,230,44,489,959
"63","10108_2014-15",82,179,967,199,64,536,955
"64","10108_2015-16",54,151,858,193,76,523,809
"65","10108_2016-17",61,168,1242,258,87,796,1020
"66","10116_2011-12",1,2,56,83,18,57,103
"67","10116_2012-13",2,2,73,91,19,80,107
"68","10116_2013-14",2,1,64,82,22,79,92
"69","10116_2014-15",6,36,103,83,24,111,141
"70","10116_2015-16",9,38,122,72,21,121,141
"71","10116_2016-17",2,27,152,80,20,148,133
"72","10124_2011-12",8,4,50,262,73,181,216
"73","10124_2012-13",7,5,52,262,75,175,226
"74","10124_2013-14",8,6,40,247,59,167,193
"75","10124_2014-15",10,3,48,250,54,160,205
"76","10124_2015-16",11,3,46,267,46,167,206
"77","10124_2016-17",8,4,42,268,41,182,181
"78","10132_2011-12",1,7,381,14,6,146,263
"79","10132_2012-13",1,5,358,11,5,134,246
"80","10132_2013-14",2,2,345,14,12,147,228
"81","10132_2014-15",2,4,337,14,9,132,234
"82","10132_2015-16",1,2,369,15,7,143,251
"83","10132_2016-17",1,4,434,20,7,173,293
"84","10140_2011-12",14,358,1004,47,19,600,842
"85","10140_2012-13",11,386,1170,50,24,711,930
"86","10140_2013-14",13,609,1644,52,23,1057,1284
"87","10140_2014-15",14,463,1880,50,30,1131,1306
"88","10140_2015-16",10,318,1619,34,33,956,1058
"89","10140_2016-17",8,311,1534,48,45,896,1050
"90","10157_2011-12",26,293,1620,767,78,1003,1781
"91","10157_2012-13",23,290,1744,790,77,1073,1851
"92","10157_2013-14",29,287,1676,734,81,1102,1705
"93","10157_2014-15",30,265,1676,646,75,1043,1649
"94","10157_2015-16",23,194,1780,594,73,1102,1562
"95","10157_2016-17",23,199,1808,551,80,1158,1503
"96","10165_2012-13",0,28,175,44,26,69,204
"97","10199_2011-12",143,1221,5073,626,234,2616,4681
"98","10199_2012-13",132,1044,5023,556,209,2739,4225
"99","10199_2013-14",156,980,4744,577,376,2735,4098
"100","10199_2014-15",140,823,4271,554,348,2608,3528
"101","10199_2015-16",151,1025,3872,553,233,2399,3435
"102","10199_2016-17",152,967,3623,468,223,2278,3155
"103","10207_2011-12",2,24,556,100,24,266,440
"104","10207_2012-13",3,27,631,127,23,308,503
"105","10207_2013-14",4,28,702,114,16,330,534
"106","10207_2014-15",2,20,670,113,25,341,489
"107","10207_2015-16",2,19,656,116,28,343,478
"108","10207_2016-17",0,17,636,120,25,326,472
"109","10215_2011-12",9,36,119,111,11,101,185
"110","10215_2012-13",9,40,103,102,13,105,162
"111","10215_2013-14",10,31,80,97,10,90,138
"112","10215_2014-15",9,29,58,87,9,69,123
"113","10215_2015-16",8,23,69,81,16,68,129
"114","10215_2016-17",10,8,77,70,17,63,119
"115","10223_2012-13",1,1,11,37,5,18,37
"116","10231_2012-13",1,2,43,49,19,44,70
"117","10249_2011-12",40,78,838,206,28,456,734
"118","10249_2012-13",36,76,776,194,29,418,693
"119","10249_2013-14",31,72,715,184,25,402,625
"120","10249_2014-15",21,52,679,165,27,334,610
"121","10249_2015-16",19,36,602,147,26,304,526
"122","10249_2016-17",18,40,613,143,20,333,501
"123","10256_2011-12",1,1,8,19,4,8,25
"124","10256_2014-15",1,5,14,10,1,9,22
"125","10264_2011-12",7,30,95,62,7,60,141
"126","10264_2012-13",12,73,212,83,34,110,304
"127","10264_2013-14",11,55,165,110,16,107,250
"128","10264_2014-15",23,90,236,153,17,182,337
"129","10264_2015-16",17,58,278,135,23,176,335
"130","10264_2016-17",17,77,210,72,7,129,254
"131","10272_2011-12",13,23,485,160,190,358,513
"132","10272_2012-13",10,20,484,161,165,337,503
"133","10272_2013-14",10,19,640,209,90,421,547
"134","10272_2014-15",9,15,602,244,59,442,487
"135","10272_2015-16",11,17,630,239,74,455,516
"136","10272_2016-17",5,16,587,217,82,413,494
"137","10280_2011-12",2,6,112,36,6,37,125
"138","10280_2012-13",2,6,93,31,4,29,107
"139","10280_2013-14",1,13,98,37,2,41,110
"140","10280_2015-16",1,6,80,22,2,37,74
"141","10298_2011-12",47,379,1067,832,248,949,1624
"142","10298_2012-13",43,386,1026,836,226,1028,1489
"143","10298_2013-14",27,377,986,813,326,1111,1418
"144","10298_2014-15",17,363,1152,933,261,1228,1498
"145","10298_2015-16",20,291,1079,888,216,1069,1425
"146","10298_2016-17",16,218,983,802,166,959,1226
"147","10306_2011-12",279,193,4377,1438,340,2382,4245
"148","10306_2012-13",264,147,4063,1324,282,2265,3815
"149","10306_2013-14",226,120,3477,1031,254,2032,3076
"150","10306_2014-15",229,91,2936,928,254,1794,2644
"151","10306_2015-16",188,75,2834,875,215,1729,2458
"152","10306_2016-17",159,89,3170,872,247,1966,2571
"153","10314_2011-12",9,16,97,224,29,107,268
"154","10314_2012-13",5,21,108,199,31,103,261
"155","10314_2013-14",7,14,104,184,25,102,232
"156","10314_2014-15",10,20,98,266,25,154,265
"157","10314_2015-16",3,11,84,236,29,150,213
"158","10314_2016-17",3,10,102,255,38,177,231
"159","10330_2011-12",39,327,2017,1517,225,1788,2337
"160","10330_2012-13",37,329,2020,1383,211,1677,2303
"161","10330_2013-14",40,309,1987,1228,217,1670,2111
"162","10330_2014-15",51,255,1858,1140,244,1606,1942
"163","10330_2015-16",48,300,2006,1124,223,1665,2036
"164","10330_2016-17",50,304,1983,1148,243,1692,2036
"165","10348_2011-12",36,190,165,147,61,140,459
"166","10348_2012-13",40,158,166,146,79,138,451
"167","10348_2013-14",33,201,237,180,101,222,530
"168","10348_2014-15",24,206,227,162,71,208,482
"169","10348_2015-16",45,209,261,180,89,231,553
"170","10348_2016-17",41,264,272,171,93,294,547
"171","10363_2011-12",27,364,643,656,131,480,1341
"172","10363_2012-13",28,324,742,393,169,450,1206
"173","10363_2013-14",26,309,709,344,150,434,1104
"174","10363_2014-15",25,287,750,280,117,404,1055
"175","10363_2015-16",20,252,728,264,117,395,986
"176","10363_2016-17",22,290,825,236,106,430,1049
"177","10371_2011-12",91,333,1955,434,154,1027,1940
"178","10371_2012-13",133,274,1965,487,177,1132,1904
"179","10371_2013-14",159,261,1895,473,177,1101,1864
"180","10371_2014-15",143,237,1591,419,141,1001,1530
"181","10371_2015-16",144,201,1354,387,127,890,1323
"182","10371_2016-17",143,169,1079,355,110,726,1130
"183","10389_2011-12",42,193,144,68,57,192,312
"184","10389_2012-13",52,180,219,58,71,229,351
"185","10389_2013-14",51,142,163,43,48,170,277
"186","10389_2014-15",38,117,129,35,33,149,203
"187","10389_2015-16",40,108,135,45,41,156,213
"188","10389_2016-17",37,89,103,39,38,127,179
